,sum,weight
중앙동,14430.847662329576,0.012697929764944067
효동,5560.527882403197,0.004892795916007253
신인동,11653.378364548049,0.010253990857628001
판암1동,17992.927077881162,0.015832259451889527
판암2동,13380.372738199243,0.01177360036180985
용운동,15364.923189188867,0.013519837508185929
대동,9657.999730126763,0.008498225822390888
자양동,8728.750936125738,0.007680565197285295
가양1동,8865.875309989724,0.007801223089955873
가양2동,13691.75505708482,0.012047590560291107
용전동,12883.86185577451,0.011336712629357556
성남동,14514.96787902822,0.012771948466301409
홍도동,7096.03210074634,0.006243910221592615
삼성동,12968.398889522894,0.011411098094590885
대청동,19657.782567259284,0.017297191974743994
산내동,19508.151901237823,0.0171655295989584
은행선화동,8619.309482071854,0.007584265941034589
목동,10715.867133137415,0.009429059983929296
중촌동,9739.292933751336,0.008569756990493144
대흥동,7278.325951298409,0.0064043134470340305
문창동,9513.407075458554,0.008370996472011387
석교동,15944.879429628012,0.01403015012322801
대사동,15876.820050605902,0.013970263605478645
부사동,11077.713573330993,0.00974745435623406
용두동,11653.378364548049,0.010253990857628001
오류동,13393.456028908708,0.011785112555023337
태평1동,11653.378364548049,0.010253990857628001
태평2동,10504.927106070025,0.009243450537347089
유천1동,6458.003623814111,0.0056824989325476695
유천2동,8606.466862463492,0.007572965518107213
문화1동,15093.439737869348,0.013280954950635367
문화2동,13859.762555712749,0.012195423000039625
산성동,19331.184497299106,0.01700981319764372
복수동,15432.391333857797,0.013579203789531516
도마1동,12609.582304560447,0.011095369739544642
도마2동,14387.786122829077,0.012660039239249235
정림동,18118.170216907845,0.015942462859209344
변동,13205.339524653511,0.01161958588503466
용문동,11988.203804337572,0.01054860902680612
탄방동,13890.6210758689,0.012222575897136292
괴정동,12434.637724056909,0.010941433252376922
가장동,10358.132584309677,0.009114283729491635
내동,12067.682570348219,0.01061854364272214
갈마1동,12200.259916204253,0.010735200533952247
갈마2동,9518.292854657404,0.008375295545951166
월평1동,16809.690137306563,0.014791110662970904
월평2동,19110.85406895088,0.016815940989322303
월평3동,14752.373823933216,0.012980845690132069
가수원동,18313.421023331557,0.01611426711385399
관저1동,16607.8003424236,0.014613464657991251
관저2동,17553.942474522904,0.015445989996915932
기성동,19709.75793552902,0.017342925918531583
둔산1동,17403.30122074648,0.01531343838907453
둔산2동,18079.236596508475,0.01590820455443791
만년동,17553.942474522904,0.015445989996915932
둔산3동,14387.786122829077,0.012660039239249235
진잠동,19339.09224268322,0.017016771347146513
온천1동,17300.248339788894,0.015222760538743501
온천2동,17401.091346478017,0.015311493885958226
노은1동,18947.113841528106,0.01667186338860465
노은2동,18751.64914371749,0.016499870927565493
노은3동,19058.916327514147,0.01677024015397671
신성동,19487.79905156905,0.01714762080651198
전민동,19092.66510381816,0.016799936232903507
구즉동,19492.676825016286,0.01715191283606503
관평동,18580.54468552667,0.01634931342440181
원신흥동,18188.149447897646,0.016004038684892325
오정동,13464.479607045898,0.011847607318182348
대화동,17616.991475465726,0.015501467804211461
회덕동,19094.42008437296,0.01680148046788853
비래동,16722.235731391407,0.014714158156096039
송촌동,10969.776424977794,0.009652478762222694
중리동,146.84370386212257,0.00012921008396013194
신탄진동,19149.18081690904,0.01684966529749041
석봉동,12998.16906534201,0.011437293340392554
덕암동,17720.070818612057,0.01559216893903845
목상동,18569.821517847136,0.016339877940552316
법1동,15649.820472804944,0.013770523107689812
법2동,16961.346365917118,0.014924555363128056
